city_a,city_b,distance
Sydney,São Paulo,13357224.47
Sydney,Mexico City,12972865.96
Auckland,New York,14193888.25
Auckland,Los Angeles,10496496.62
Auckland,London,18336020.68
Auckland,Paris,18545324.17
Auckland,Berlin,17746703.27
Auckland,Moscow,16198354.51
Auckland,Cairo,16569539.26
Auckland,Cape Town,11772433.14
Auckland,Nairobi,13953084.29
Auckland,Dubai,14202096.66
Auckland,Mumbai,12297604.99
Auckland,Bangkok,9572538.768
Auckland,Singapore,8417132.95
Auckland,Sydney,2155901.304
Auckland,Auckland,0
Auckland,Tokyo,8841096.662
Auckland,Seoul,9621477.695
Auckland,Buenos Aires,10354910.65
Auckland,São Paulo,12020173.99
Auckland,Mexico City,10955478.3
Tokyo,New York,10848822.98
Tokyo,Los Angeles,8815485.532
Tokyo,London,9558719.626
Tokyo,Paris,9712084.564
Tokyo,Berlin,8916118.068
Tokyo,Moscow,7478251.114
Tokyo,Cairo,9564321.357
Tokyo,Cape Town,14731610.2
Tokyo,Nairobi,11251507.76
Tokyo,Dubai,7933112.594
Tokyo,Mumbai,6723969.047
Tokyo,Bangkok,4602975.827
Tokyo,Singapore,5315092.998
Tokyo,Sydney,7826625.868
Tokyo,Auckland,8841096.662
Tokyo,Tokyo,0
Tokyo,Seoul,1152619.85
Tokyo,Buenos Aires,18369747.88
Tokyo,São Paulo,18534266.35
Tokyo,Mexico City,11305958.92
Seoul,New York,11052592.09
Seoul,Los Angeles,9585810.965
Seoul,London,8857356.248
Seoul,Paris,8965745.714
Seoul,Berlin,8126794.048
Seoul,Moscow,6605529.499
Seoul,Cairo,8485757.755
Seoul,Cape Town,13714367.39
Seoul,Nairobi,10108905.09
Seoul,Dubai,6783410.724
Seoul,Mumbai,5595190.505
Seoul,Bangkok,3722107.418
Seoul,Singapore,4671951.201
Seoul,Sydney,8329267.165
Seoul,Auckland,9621477.695
Seoul,Tokyo,1152619.85
Seoul,Seoul,0
Seoul,Buenos Aires,19431759.19
Seoul,São Paulo,18342023.73
Seoul,Mexico City,12051654.73
Buenos Aires,New York,8526205.891
Buenos Aires,Los Angeles,9852036.791
Buenos Aires,London,11127820.86
Buenos Aires,Paris,11050134.14
Buenos Aires,Berlin,11909533.57
Buenos Aires,Moscow,13475572.36
Buenos Aires,Cairo,11812761.3
Buenos Aires,Cape Town,6869763.338
Buenos Aires,Nairobi,10401695.93
Buenos Aires,Dubai,13646504.73
Buenos Aires,Mumbai,14935154.53
Buenos Aires,Bangkok,16873240.46
Buenos Aires,Singapore,15882407.77
Buenos Aires,Sydney,11801082.43
Buenos Aires,Auckland,10354910.65
Buenos Aires,Tokyo,18369747.88
Buenos Aires,Seoul,19431759.19
Buenos Aires,Buenos Aires,0
Buenos Aires,São Paulo,1674872.246
Buenos Aires,Mexico City,7392188.894
São Paulo,New York,7685636.178
São Paulo,Los Angeles,9906386.834
São Paulo,London,9497423.443
São Paulo,Paris,9401903.621
São Paulo,Berlin,10252879.62
São Paulo,Moscow,11806428.32
São Paulo,Cairo,10219666.73
São Paulo,Cape Town,6344704.978
São Paulo,Nairobi,9283080.367
São Paulo,Dubai,12226193.58
São Paulo,Mumbai,13774029.73
São Paulo,Bangkok,16395648.48
São Paulo,Singapore,15987029.72
São Paulo,Sydney,13357224.47
São Paulo,Auckland,12020173.99
São Paulo,Tokyo,18534266.35
São Paulo,Seoul,18342023.73
São Paulo,Buenos Aires,1674872.246
São Paulo,São Paulo,0
São Paulo,Mexico City,7432033.959
Mexico City,New York,3359387.681
Mexico City,Los Angeles,2490486.409
Mexico City,London,8928755.53
Mexico City,Paris,9196265.978
Mexico City,Berlin,9726681.441
Mexico City,Moscow,10719409.07
Mexico City,Cairo,12368600.6
Mexico City,Cape Town,13700222.99
Mexico City,Nairobi,14816698.84
Mexico City,Dubai,14331973.35
Mexico City,Mumbai,15645394.43
Mexico City,Bangkok,15744347.96
Mexico City,Singapore,16606724.82
Mexico City,Sydney,12972865.96
Mexico City,Auckland,10955478.3
Mexico City,Tokyo,11305958.92
Mexico City,Seoul,12051654.73
Mexico City,Buenos Aires,7392188.894
Mexico City,São Paulo,7432033.959
Mexico City,Mexico City,0
